"Species_ID"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"405947"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 80"
"406340"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Aresaunavirus"	"Ralstonia virus RSA1"
"413066"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Streptococcus phage SMP"
"414970"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Enterobacteria phage cdtI"
"424716"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Salmonella phage Vi II-E1"
"430796"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Triavirus"	"Staphylococcus phage phi2958PVL"
"438780"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactobacillus phage phiPYB5"
"445515"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Biseptimavirus"	"Staphylococcus phage tp310-1"
"445516"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Triavirus"	"Staphylococcus phage tp310-2"
"445517"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Biseptimavirus"	"Staphylococcus phage tp310-3"
"459845"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Brussowvirus"	"Streptococcus virus 858"
"487152"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus phiMR25"
"496874"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactobacillus phage Lrm1"
"505291"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Casadabanvirus"	"Pseudomonas virus MP29"
